state,individuals,claimers,total_gift_dollars,avg_gift_all,avg_gift_claimers,median_gift_claimers,proportion_claiming
NSW,4950907,1400674,1489422719,301,1063,170,0.28
VIC,4117565,1245421,1205774814,293,968,130,0.3
QLD,3273490,834785,550873651,168,660,120,0.26
WA,1758137,476367,5494204258,3125,11534,120,0.27
SA,1095203,278723,182884873,167,656,120,0.25
TAS,332312,93960,52499202,158,559,103,0.28
ACT,308828,105958,99274361,321,937,245,0.34
NT,134717,37750,19212636,143,509,120,0.28
Overseas,137684,7032,8794963,64,1251,240,0.05
Australia,16108843,4480670,9102941477,565,2032,150,0.28
