state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
ACT,2600,6205,6154,807622914,130157,89958,55,2
ACT,2601,3599,3554,260249690,72312,51399,835,24
ACT,2602,23679,23501,2134457988,90141,74570,303,7
ACT,2603,7828,7773,1115508646,142502,88305,41,1
ACT,2604,9332,9266,1007744872,107988,88009,139,4
ACT,2605,8200,8151,942381384,114925,80963,102,3
ACT,2606,9035,8960,792720816,87739,72304,340,10
ACT,2607,10012,9945,935612813,93449,72512,263,6
ACT,2609,550,545,47586289,86521,57812,365,12
ACT,2611,26207,26009,2348069775,89597,76952,310,9
ACT,2612,14005,13915,1322520403,94432,77846,247,5
ACT,2614,13799,13693,1172299290,84955,69062,386,13
ACT,2615,30859,30630,2336476072,75715,68610,669,21
ACT,2616,106,106,9272178,87473,62645,347,11
ACT,2617,26555,26311,1987925672,74861,64568,701,22
ACT,2900,3743,3723,273620650,73102,67816,795,23
ACT,2902,10125,10058,792556095,78277,67885,574,18
ACT,2903,6189,6135,483621771,78142,68815,579,19
ACT,2904,8718,8659,726910848,83380,71635,430,14
ACT,2905,18573,18463,1415522214,76214,69852,643,20
ACT,2906,11840,11764,931598895,78682,72181,551,16
ACT,2911,3099,3070,278762146,89952,78428,306,8
ACT,2912,6198,6135,437832825,70641,61720,927,25
ACT,2913,28097,27862,2204806218,78471,69253,568,17
ACT,2914,22042,21846,1836973350,83340,73488,432,15
NSW,1240,56,51,4353854,77747,33272,594,170
NSW,1355,58,55,5873166,101261,60130,183,77
NSW,1871,51,49,4037745,79171,41978,530,160
NSW,2000,25285,24712,2419248728,95679,42667,234,91
NSW,2001,226,215,36316533,160693,52806,22,12
NSW,2002,60,52,3514360,58573,23036,1773,426
NSW,2006,52,52,6632232,127543,51596,61,34
NSW,2007,5431,5303,325350177,59906,41716,1667,400
NSW,2008,6825,6707,476730331,69851,49587,974,255
NSW,2009,9275,9108,932881978,100580,63496,187,80
NSW,2010,19983,19784,2257081637,112950,74240,116,56
NSW,2011,13647,13513,1775619149,130111,75591,56,31
NSW,2012,70,70,8571986,122457,55529,75,42
NSW,2013,53,51,4166102,78606,64177,557,162
NSW,2014,51,50,6347562,124462,90000,71,38
NSW,2015,8544,8484,986506729,115462,86830,99,52
NSW,2016,9039,8953,863316003,95510,69312,237,93
NSW,2017,17647,17375,1474886686,83577,68607,425,135
NSW,2018,12526,12379,959862120,76630,62514,627,175
NSW,2019,8829,8753,750635745,85019,71705,385,128
NSW,2020,15085,14885,1019396695,67577,56032,1119,290
NSW,2021,10808,10704,1698479139,157150,85176,26,15
NSW,2022,10059,9968,1198198008,119117,67724,88,49
NSW,2023,7634,7550,1651713291,216363,83557,8,6
NSW,2024,7678,7615,1313498194,171073,83767,15,10
NSW,2025,5258,5195,1273837897,242267,87075,3,3
NSW,2026,24600,24355,3457170725,140535,75956,47,27
NSW,2027,5841,5767,1633798952,279712,88701,1,1
NSW,2028,3487,3437,892325216,255901,89364,2,2
NSW,2029,7046,6970,1118799486,158785,78771,24,13
NSW,2030,9905,9776,2345009230,236750,81490,5,4
NSW,2031,24089,23909,2822914021,117187,75558,95,50
NSW,2032,9354,9202,720830476,77061,53303,614,173
NSW,2033,8033,7926,724652984,90210,60337,302,111
NSW,2034,14720,14614,1829879380,124312,77466,72,39
NSW,2035,23103,22862,2320541699,100443,64195,188,81
NSW,2036,20465,20283,1713791020,83743,61544,419,133
NSW,2037,10863,10728,1117923737,102911,65844,173,75
NSW,2038,6416,6367,773491535,120557,80570,82,48
NSW,2039,5953,5907,775027250,130191,89684,54,30
NSW,2040,14629,14530,1654428663,113092,82581,112,55
NSW,2041,10634,10547,1686424453,158588,87962,25,14
NSW,2042,13350,13246,1275205985,95521,71699,236,92
NSW,2043,7260,7215,795660158,109595,92216,131,60
NSW,2044,5737,5695,510957028,89063,74324,319,113
NSW,2045,4249,4214,515006080,121206,68338,81,47
NSW,2046,17224,17101,1883033120,109326,73644,136,62
NSW,2047,8000,7932,976197213,122025,77809,77,44
NSW,2048,5309,5278,552414133,104052,75087,166,72
NSW,2049,8436,8387,810515521,96078,73804,228,89
NSW,2050,5939,5872,569069032,95819,76516,232,90
NSW,2052,175,171,5245370,29974,11992,2614,627
NSW,2057,188,178,14144051,75234,25659,687,194
NSW,2059,116,113,16453356,141839,86812,43,24
NSW,2060,11368,11235,1401255156,123263,80989,73,40
NSW,2061,4420,4348,689635964,156026,89272,28,16
NSW,2062,4776,4740,682034246,142804,88763,40,22
NSW,2063,4434,4381,916097759,206608,80810,11,8
NSW,2064,6389,6327,678916751,106263,70082,149,66
NSW,2065,23760,23511,2883590906,121363,84714,80,46
NSW,2066,23265,23084,3508251307,150795,80550,30,17
NSW,2067,18265,17892,1544964757,84586,54834,392,129
NSW,2068,11384,11254,1628456884,143048,76274,39,21
NSW,2069,10011,9897,1460277299,145867,72236,34,19
NSW,2070,10023,9886,1269198900,126629,67484,65,36
NSW,2071,9224,9088,1171316821,126986,62500,63,35
NSW,2072,6161,6061,645308210,104741,62794,161,71
NSW,2073,11684,11537,1435176488,122833,72099,74,41
NSW,2074,15618,15448,1974627161,126433,68277,66,37
NSW,2075,14255,14070,1576836841,110616,64662,126,58
NSW,2076,16245,16051,1861241554,114573,66445,104,54
NSW,2077,28061,27737,2144932398,76438,61673,635,177
NSW,2079,5275,5232,427177320,80981,65151,487,151
NSW,2080,1168,1161,93650558,80180,63347,506,156
NSW,2081,3582,3562,298697426,83388,64371,429,137
NSW,2082,3536,3520,293875746,83110,66203,436,139
NSW,2083,1051,1038,82595278,78587,54446,561,163
NSW,2084,2517,2501,337302749,134010,65838,50,28
NSW,2085,7461,7411,720530274,96573,62774,222,86
NSW,2086,9138,9076,887612303,97134,67031,214,84
NSW,2087,8436,8370,871241928,103277,64010,171,74
NSW,2088,20092,19871,3966280667,197406,82637,12,9
NSW,2089,8801,8712,1128663519,128243,81457,59,32
NSW,2090,9740,9651,1430047594,146822,82327,32,18
NSW,2092,4714,4672,765286049,162343,76454,20,11
NSW,2093,15824,15698,2248375891,142086,74816,42,23
NSW,2094,4362,4322,575526025,131941,77054,52,29
NSW,2095,12189,12083,1723080757,141364,79706,45,25
NSW,2096,10564,10493,1490095984,141054,78922,46,26
NSW,2097,10801,10722,1139479597,105498,65257,156,69
NSW,2099,28952,28727,2569430886,88748,63450,324,115
NSW,2100,14734,14641,1426996790,96851,65838,220,85
NSW,2101,12985,12886,1186810457,91399,63033,287,106
NSW,2102,5342,5310,503980455,94343,65165,249,97
NSW,2103,7533,7480,715525798,94986,61432,241,94
NSW,2104,2459,2438,299212512,121681,59499,78,45
NSW,2105,1429,1411,159973980,111948,60843,123,57
NSW,2106,6862,6812,718976976,104777,63096,160,70
NSW,2107,10487,10376,1343236953,128086,57227,60,33
NSW,2108,1304,1277,291240609,223344,65512,6,5
NSW,2109,65,65,3168650,48748,14815,2412,571
NSW,2110,6277,6210,1311278510,208902,80173,10,7
NSW,2111,10392,10307,1217688330,117176,76366,96,51
NSW,2112,24866,24548,2061084091,82888,62551,440,142
NSW,2113,19408,19138,1607154506,82809,63974,441,143
NSW,2114,17532,17320,1337846816,76309,60892,639,179
NSW,2115,7428,7351,549334843,73955,60726,755,208
NSW,2116,4396,4331,304082196,69172,57962,1013,263
NSW,2117,13537,13360,969041636,71585,55402,870,234
NSW,2118,17578,17308,1213275413,69022,52287,1021,266
NSW,2119,8097,8000,856569674,105789,67081,154,68
NSW,2120,13909,13786,1213069689,87215,66076,351,123
NSW,2121,23653,23322,1889438850,79882,58137,512,158
NSW,2122,21389,21045,1556967810,72793,50187,810,221
NSW,2124,357,349,19733619,55276,29521,2035,482
NSW,2125,11295,11166,1154590616,102221,64062,178,76
NSW,2126,12414,12284,1104796342,88996,65866,320,114
NSW,2127,15766,15514,1194720016,75778,64933,664,189
NSW,2128,1486,1462,89817348,60442,51765,1626,393
NSW,2130,5325,5300,502321099,94333,73240,250,98
NSW,2131,16072,15903,1159774643,72161,57773,841,227
NSW,2132,6857,6779,562239969,81995,60546,459,147
NSW,2133,6737,6665,495998073,73623,58376,769,214
NSW,2134,12375,12128,747820341,60430,45343,1627,394
NSW,2135,20170,19853,1655913849,82098,52860,457,146
NSW,2136,5187,5109,380918217,73437,57534,778,216
NSW,2137,18006,17799,1683463187,93495,64967,261,101
NSW,2138,13406,13176,1047105311,78107,58912,581,168
NSW,2140,15267,15039,965612160,63248,54023,1413,347
NSW,2141,22268,21907,1257381023,56466,46422,1931,459
NSW,2142,18092,17785,979104728,54118,47012,2128,501
NSW,2143,5476,5377,310428172,56689,46768,1911,453
NSW,2144,24829,24301,1174545326,47305,40289,2471,586
NSW,2145,53436,52710,3772806523,70604,59163,929,248
NSW,2146,12298,12173,839142436,68234,58764,1067,277
NSW,2147,22030,21818,1482479856,67294,57293,1151,294
NSW,2148,42147,41647,2523857895,59882,52793,1670,401
NSW,2149,88,87,6084960,69147,51763,1017,264
NSW,2150,26936,26489,1864675858,69226,59277,1010,262
NSW,2151,13147,12978,1002908927,76284,61159,640,180
NSW,2152,7014,6949,534857641,76256,63525,641,181
NSW,2153,39493,39152,3362361315,85138,66352,382,126
NSW,2154,26567,26301,2326157315,87558,62192,345,121
NSW,2155,50135,49652,4422472062,88211,71478,334,119
NSW,2156,8897,8818,974279537,109507,63266,133,61
NSW,2157,2598,2572,234691745,90336,58116,299,110
NSW,2158,5732,5677,701367847,122360,65447,76,43
NSW,2159,3320,3285,302261675,91043,57631,295,109
NSW,2160,22231,21853,1242035118,55870,46705,1985,468
NSW,2161,16993,16672,885153919,52089,43324,2253,530
NSW,2162,10087,9901,535256390,53064,43259,2196,520
NSW,2163,4735,4631,232626461,49129,42691,2399,565
NSW,2164,10212,10089,602733135,59022,49185,1744,418
NSW,2165,19558,19285,1017408295,52020,44428,2260,533
NSW,2166,27732,27335,1449463645,52267,45338,2234,525
NSW,2167,6307,6216,417524086,66200,58658,1215,308
NSW,2168,21262,20943,1150690818,54120,47605,2127,500
NSW,2170,61198,60413,3719544978,60779,52945,1593,388
NSW,2171,22365,22120,1532674453,68530,57887,1057,273
NSW,2172,1830,1816,171342914,93630,74937,256,100
NSW,2173,8776,8695,661735445,75403,67323,681,193
NSW,2174,8218,8131,613691531,74677,66085,708,198
NSW,2175,1140,1133,91389358,80166,58163,507,157
NSW,2176,24580,24323,1531818444,62320,50347,1495,367
NSW,2177,8639,8541,497268950,57561,50589,1835,440
NSW,2178,2222,2201,195372628,87926,58495,337,120
NSW,2179,13257,13078,939639691,70879,62889,909,242
NSW,2190,13504,13224,760493889,56316,43582,1937,460
NSW,2191,3543,3510,239226027,67521,52613,1127,291
NSW,2192,7991,7886,471035489,58946,48885,1750,419
NSW,2193,11377,11273,865054762,76035,58531,651,183
NSW,2194,16092,15868,861787316,53554,46009,2165,512
NSW,2195,14337,13941,664524004,46350,37236,2500,594
NSW,2196,18175,17881,994253254,54704,44903,2076,494
NSW,2197,4809,4734,269218288,55982,45128,1970,466
NSW,2198,4957,4886,303559926,61239,49154,1557,382
NSW,2199,9997,9821,550733994,55090,45305,2049,485
NSW,2200,25972,25505,1381231839,53182,44179,2186,517
NSW,2203,9162,9113,835549857,91197,72562,293,108
NSW,2204,17203,17097,1491677753,86710,69669,361,125
NSW,2205,17128,16892,1158382189,67631,55685,1112,286
NSW,2206,11907,11818,1000923739,84062,62143,408,132
NSW,2207,16812,16609,1206310403,71753,56096,864,230
NSW,2208,7743,7667,585840988,75661,57090,670,190
NSW,2209,9963,9849,643125295,64551,51360,1328,327
NSW,2210,19717,19502,1366623100,69312,54848,1006,259
