rank,occupation_code,occupation_name,individuals,avg_taxable_income,median_taxable_income
1,2535,Surgeon,4247,472475,366487
2,2532,Anaesthetist,3658,447193,425174
3,2222,Financial dealer,5147,355233,177327
4,2533,Internal medicine specialist,10689,342457,297666
5,2534,Psychiatrist,3238,286146,257105
6,2539,Other medical practitioners,31160,259802,169277
7,2336,Mining engineer,10175,206423,180532
8,2712,Judicial or other legal professionals,4333,206408,126735
9,1111,Chief executive officer or managing director,231103,194987,89326
10,2223,Financial investment advisor or manager,20334,191986,119005
