occupation_code,occupation_name,individuals,avg_taxable_income
2535,Surgeon,4206,506308.25
2532,Anaesthetist,3629,429962.875
2533,Internal medicine specialist,10627,350010.0
2534,Psychiatrist,3224,300905.0
2539,Other medical practitioners,30996,260985.0
2222,Financial dealer,5080,252593.875
2712,Judicial or other legal professionals,4303,206366.625
2336,Mining engineer,10076,191071.375
1333,"Importer, exporter or wholesaler",3227,182321.875
1332,Engineering manager,26403,180934.375
2523,Dental practitioner,9667,176917.75
1111,Chief executive officer or managing director,229998,175747.375
2531,General medical practitioner,45755,166708.875
2711,Barrister,1558,155037.875
2223,Financial investment advisor or manager,20242,153881.5
1335,Production manager,18022,150539.75
9224,Consultant - management,30339,148134.25
1351,IT manager,81839,147567.125
2252,IT sales professional,22427,146103.25
1343,School principal,13708,145872.0
2311,Air transport professionals,15430,145032.625
2243,Economist,3994,144119.0
2713,Solicitor,70316,143638.625
2344,Geologist or geophysicist,10972,141200.25
2331,Chemical or materials engineer,9561,140365.5
2339,Other engineering professional,29760,137529.0
9250,Consultant - medical,1307,135939.625
3992,"Chemical, gas, petroleum or power generation plant operator",10433,135850.125
1112,General manager,261653,135226.625
9261,Consultant - IT business analyst,22477,135164.625
