state,top_or_bottom,rank_state,postcode,suburb,individuals,avg_taxable_income,median_taxable_income,rank_australia
ACT,Top,1,2603,"FORREST, GRIFFITH, MANUKA, RED HILL",7828,142502,88305,41
ACT,Top,2,2600,"BARTON, CANBERRA, CAPITAL HILL, DEAKIN, DEAKIN WEST, HARMAN, HMAS HARMAN, PARKES, RUSSELL, YARRALUMLA",6205,130157,89958,55
ACT,Top,3,2605,"CURTIN, GARRAN, HUGHES",8200,114925,80963,102
ACT,Top,4,2604,"CAUSEWAY, KINGSTON, NARRABUNDAH",9332,107988,88009,139
ACT,Top,5,2612,"BRADDON, CAMPBELL, REID, TURNER",14005,94432,77846,247
ACT,Top,6,2607,"FARRER, ISAACS, MAWSON, PEARCE, TORRENS",10012,93449,72512,263
ACT,Top,7,2602,"AINSLIE, DICKSON, DOWNER, HACKETT, LYNEHAM, O'CONNOR, WATSON",23679,90141,74570,303
ACT,Top,8,2911,"CRACE, MITCHELL, KENNY",3099,89952,78428,306
ACT,Top,9,2611,"BIMBERI (NSW), BRINDABELLA (NSW), CHAPMAN, COOLEMAN (NSW), COOMBS, COREE, DENMAN PROSPECT, DUFFY, FISHER, HOLDER, RIVETT, STIRLING, STROMLO, URIARRA (NSW), URIARRA VILLAGE, WARAMANGA, WESTON, WESTON CREEK, WHITLAM, WRIGHT, MOLONGOLO",26207,89597,76952,310
ACT,Top,10,2606,"CHIFLEY, LYONS, O'MALLEY, PHILLIP, WODEN",9035,87739,72304,340
ACT,Bottom,1,2912,GUNGAHLIN,6198,70641,61720,927
ACT,Bottom,2,2601,"ACTON, CANBERRA, CITY",3599,72312,51399,835
ACT,Bottom,3,2900,GREENWAY,3743,73102,67816,795
ACT,Bottom,4,2617,"BELCONNEN, BELCONNEN DC, BRUCE, EVATT, GIRALANG, KALEEN, LAWSON, MCKELLAR, UNIVERSITY OF CANBERRA",26555,74861,64568,701
ACT,Bottom,5,2615,"CHARNWOOD, DUNLOP, FLOREY, FLYNN, FRASER, HIGGINS, HOLT, KIPPAX, LATHAM, MACGREGOR, MACNAMARA, MELBA, SPENCE, STRATHNAIRN",30859,75715,68610,669
ACT,Bottom,6,2905,"BONYTHON, CALWELL, CHISHOLM, GILMORE, ISABELLA PLAINS, RICHARDSON, THEODORE",18573,76214,69852,643
ACT,Bottom,7,2903,"ERINDALE CENTRE, OXLEY, WANNIASSA",6189,78142,68815,579
ACT,Bottom,8,2902,"KAMBAH, KAMBAH VILLAGE",10125,78277,67885,574
ACT,Bottom,9,2913,"CASEY, FRANKLIN, NGUNNAWAL, NICHOLLS, PALMERSTON, TAYLOR",28097,78471,69253,568
ACT,Bottom,10,2906,"BANKS, CONDER, GORDON",11840,78682,72181,551
NSW,Top,1,2027,"DARLING POINT, EDGECLIFF, HMAS RUSHCUTTERS, POINT PIPER",5841,279712,88701,1
NSW,Top,2,2028,DOUBLE BAY,3487,255901,89364,2
NSW,Top,3,2025,WOOLLAHRA,5258,242267,87075,3
NSW,Top,4,2030,"DOVER HEIGHTS, HMAS WATSON, ROSE BAY NORTH, VAUCLUSE, WATSONS BAY",9905,236750,81490,5
NSW,Top,5,2108,"COASTERS RETREAT, CURRAWONG BEACH, GREAT MACKEREL BEACH, PALM BEACH",1304,223344,65512,6
NSW,Top,6,2023,BELLEVUE HILL,7634,216363,83557,8
NSW,Top,7,2110,"HUNTERS HILL, WOOLWICH",6277,208902,80173,10
NSW,Top,8,2063,NORTHBRIDGE,4434,206608,80810,11
NSW,Top,9,2088,"MOSMAN, SPIT JUNCTION",20092,197406,82637,12
NSW,Top,10,2024,"BRONTE, WAVERLEY",7678,171073,83767,15
NSW,Bottom,1,2387,"BULYEROI, ROWENA",149,15174,43043,2621
NSW,Bottom,2,2308,"CALLAGHAN, NEWCASTLE UNIVERSITY",231,22515,17887,2617
NSW,Bottom,3,2052,UNIVERSITY OF NEW SOUTH WALES,175,29974,11992,2614
NSW,Bottom,4,2721,"BLAND, QUANDIALLA",111,32692,35125,2609
