rank_type,rank,postcode,state,suburb,individuals,avg_taxable_income,median_taxable_income
Top,1,2027,NSW,"DARLING POINT, EDGECLIFF, HMAS RUSHCUTTERS, POINT PIPER",5841,279712,88701
Top,2,2028,NSW,DOUBLE BAY,3487,255901,89364
Top,3,2025,NSW,WOOLLAHRA,5258,242267,87075
Top,4,3142,VIC,"HAWKSBURN, TOORAK",9857,241511,79456
Top,5,2030,NSW,"DOVER HEIGHTS, HMAS WATSON, ROSE BAY NORTH, VAUCLUSE, WATSONS BAY",9905,236750,81490
Top,6,2108,NSW,"COASTERS RETREAT, CURRAWONG BEACH, GREAT MACKEREL BEACH, PALM BEACH",1304,223344,65512
Top,7,3944,VIC,PORTSEA,641,222254,72315
Top,8,2023,NSW,BELLEVUE HILL,7634,216363,83557
Top,9,6011,WA ,"COTTESLOE, PEPPERMINT GROVE",6919,213621,83598
Top,10,2110,NSW,"HUNTERS HILL, WOOLWICH",6277,208902,80173
Bottom,1,4494,QLD,"BUNGUNYA, NORTH BUNGUNYA, TARAWERA",99,4047,41122
Bottom,2,2387,NSW,"BULYEROI, ROWENA",149,15174,43043
Bottom,3,4498,QLD,"KIOMA, TOOBEAH",117,15449,49476
Bottom,4,4423,QLD,"GLENMORGAN, TEELBA",134,18615,26833
Bottom,5,4426,QLD,"JACKSON, JACKSON NORTH, JACKSON SOUTH",68,20324,37398
Bottom,6,2308,NSW,"CALLAGHAN, NEWCASTLE UNIVERSITY",231,22515,17887
Bottom,7,5308,SA ,"COPEVILLE, GALGA, MANTUNG, MERCUNDA, PERPONDA",72,27116,23597
Bottom,8,3482,VIC,"WATCHEM, WATCHEM WEST, MORTON PLAINS, WARMUR, MASSEY",101,27987,42458
Bottom,9,2052,NSW,UNIVERSITY OF NEW SOUTH WALES,175,29974,11992
Bottom,10,5309,SA ,"BORRIKA, HALIDON, MINDARIE, SANDALWOOD",51,30178,28749
