category,group,tile_index,col,row,total_bn,total_m
Tax expenditures (net forgone),expenditure,0,0,0,269.525,269525
Tax expenditures (net forgone),expenditure,1,1,0,269.525,269525
Tax expenditures (net forgone),expenditure,2,2,0,269.525,269525
Tax expenditures (net forgone),expenditure,3,3,0,269.525,269525
Tax expenditures (net forgone),expenditure,4,4,0,269.525,269525
Tax expenditures (net forgone),expenditure,5,5,0,269.525,269525
Tax expenditures (net forgone),expenditure,6,6,0,269.525,269525
Tax expenditures (net forgone),expenditure,7,7,0,269.525,269525
Tax expenditures (net forgone),expenditure,8,8,0,269.525,269525
Tax expenditures (net forgone),expenditure,9,9,0,269.525,269525
Tax expenditures (net forgone),expenditure,10,10,0,269.525,269525
Tax expenditures (net forgone),expenditure,11,11,0,269.525,269525
Tax expenditures (net forgone),expenditure,12,0,1,269.525,269525
Tax expenditures (net forgone),expenditure,13,1,1,269.525,269525
Tax expenditures (net forgone),expenditure,14,2,1,269.525,269525
Tax expenditures (net forgone),expenditure,15,3,1,269.525,269525
Tax expenditures (net forgone),expenditure,16,4,1,269.525,269525
Tax expenditures (net forgone),expenditure,17,5,1,269.525,269525
Tax expenditures (net forgone),expenditure,18,6,1,269.525,269525
Tax expenditures (net forgone),expenditure,19,7,1,269.525,269525
Tax expenditures (net forgone),expenditure,20,8,1,269.525,269525
Tax expenditures (net forgone),expenditure,21,9,1,269.525,269525
Tax expenditures (net forgone),expenditure,22,10,1,269.525,269525
Tax expenditures (net forgone),expenditure,23,11,1,269.525,269525
Tax expenditures (net forgone),expenditure,24,0,2,269.525,269525
Tax expenditures (net forgone),expenditure,25,1,2,269.525,269525
Tax expenditures (net forgone),expenditure,26,2,2,269.525,269525
Tax expenditures (net forgone),expenditure,27,3,2,269.525,269525
Tax expenditures (net forgone),expenditure,28,4,2,269.525,269525
Tax expenditures (net forgone),expenditure,29,5,2,269.525,269525
Tax expenditures (net forgone),expenditure,30,6,2,269.525,269525
Tax expenditures (net forgone),expenditure,31,7,2,269.525,269525
Tax expenditures (net forgone),expenditure,32,8,2,269.525,269525
Tax expenditures (net forgone),expenditure,33,9,2,269.525,269525
Tax expenditures (net forgone),expenditure,34,10,2,269.525,269525
Tax expenditures (net forgone),expenditure,35,11,2,269.525,269525
Tax expenditures (net forgone),expenditure,36,0,3,269.525,269525
Tax expenditures (net forgone),expenditure,37,1,3,269.525,269525
Tax expenditures (net forgone),expenditure,38,2,3,269.525,269525
Tax expenditures (net forgone),expenditure,39,3,3,269.525,269525
Tax expenditures (net forgone),expenditure,40,4,3,269.525,269525
Tax expenditures (net forgone),expenditure,41,5,3,269.525,269525
Tax expenditures (net forgone),expenditure,42,6,3,269.525,269525
Tax expenditures (net forgone),expenditure,43,7,3,269.525,269525
Tax expenditures (net forgone),expenditure,44,8,3,269.525,269525
Tax expenditures (net forgone),expenditure,45,9,3,269.525,269525
Tax expenditures (net forgone),expenditure,46,10,3,269.525,269525
Tax expenditures (net forgone),expenditure,47,11,3,269.525,269525
Tax expenditures (net forgone),expenditure,48,0,4,269.525,269525
Tax expenditures (net forgone),expenditure,49,1,4,269.525,269525
Tax expenditures (net forgone),expenditure,50,2,4,269.525,269525
Tax expenditures (net forgone),expenditure,51,3,4,269.525,269525
Tax expenditures (net forgone),expenditure,52,4,4,269.525,269525
Tax expenditures (net forgone),expenditure,53,5,4,269.525,269525
Health (federal),spending,0,0,0,132.249,132249
Health (federal),spending,1,1,0,132.249,132249
Health (federal),spending,2,2,0,132.249,132249
Health (federal),spending,3,3,0,132.249,132249
Health (federal),spending,4,4,0,132.249,132249
Health (federal),spending,5,5,0,132.249,132249
Health (federal),spending,6,6,0,132.249,132249
Health (federal),spending,7,7,0,132.249,132249
Health (federal),spending,8,8,0,132.249,132249
Health (federal),spending,9,9,0,132.249,132249
Health (federal),spending,10,10,0,132.249,132249
Health (federal),spending,11,11,0,132.249,132249
Health (federal),spending,12,0,1,132.249,132249
Health (federal),spending,13,1,1,132.249,132249
Health (federal),spending,14,2,1,132.249,132249
Health (federal),spending,15,3,1,132.249,132249
Health (federal),spending,16,4,1,132.249,132249
Health (federal),spending,17,5,1,132.249,132249
Health (federal),spending,18,6,1,132.249,132249
Health (federal),spending,19,7,1,132.249,132249
Health (federal),spending,20,8,1,132.249,132249
Health (federal),spending,21,9,1,132.249,132249
Health (federal),spending,22,10,1,132.249,132249
Health (federal),spending,23,11,1,132.249,132249
Health (federal),spending,24,0,2,132.249,132249
Health (federal),spending,25,1,2,132.249,132249
Disability (NDIS etc.),spending,0,0,0,86.338,86338
