function,fy23_24_outcome_m,fy24_25_estimate_m,fy24_25_outcome_m,change_vs_estimate_m,pct_of_total
Social security and welfare,253184,274901,285479,10578,37.07
Other purposes,132399,135322,145126,9804,18.85
Health,106589,117067,132249,15182,17.17
Education,48011,63503,50901,-12602,6.61
Defence,45103,49344,47785,-1559,6.21
General public services,31563,33052,32887,-165,4.27
Transport and communication,14041,15980,16244,264,2.11
Fuel and energy,12988,16437,14954,-1484,1.94
Other economic affairs,13490,14063,12895,-1167,1.67
Public order and safety,7739,8778,8517,-261,1.11
Housing and community amenities,6982,18122,8330,-9793,1.08
Recreation and culture,5088,5859,5966,108,0.77
"Mining, manufacturing and construction",5123,5866,4937,-930,0.64
"Agriculture, forestry and fishing",3554,4461,3801,-660,0.49
