tax_type,code,title,distributional_analysis_included,revenue_forgone_m,avg_growth_2122_2425_pct,projected_growth_pct,sign
CGT,E8,Main residence exemption – discount component,False,32000,10.3,10.5,positive
Super,C2,Concessional taxation of employer superannuation contributions,True,29450,8.2,6.2,positive
Deductions,,Rental deductions,True,29200,18.0,5.2,positive
CGT,E7,Main residence exemption,False,28000,11.3,10.1,positive
Super,C4,Concessional taxation of superannuation earnings,True,25950,3.5,5.3,positive
CGT,E15,Discount for individuals and trusts,True,21790,8.1,0.8,positive
Deductions,,Work-related expenses,True,12400,8.7,5.8,positive
Income,A25,Exemption for National Disability Insurance Scheme amounts,False,12180,30.0,7.6,positive
GST,H25,Food,False,9900,5.0,4.2,positive
GST,H17,Health – medical and health services,False,6750,11.1,6.8,positive
Income,A26,Exemption of Child Care Assistance payments,False,4600,19.5,5.6,positive
GST,H14,Education,False,4450,8.5,7.1,positive
GST,H2,Financial supplies – input taxed treatment,False,3800,7.4,4.5,positive
Income,B61,Lower tax rate for small companies,True,3800,-1.9,4.1,positive
FBT,D15,Exemption for public benevolent institutions (excluding hospitals),False,3150,9.3,5.4,positive
Income,A23,Concessional taxation of non-superannuation termination benefits,False,3100,18.8,,positive
Income,A20,Medicare levy exemption for residents with taxable income below the low-income thresholds,True,3050,6.1,0.0,positive
Income,B11,Exemption from interest withholding tax on certain securities,False,3000,16.8,-1.0,positive
Income,A37,"Exemption of certain income support benefits, pensions or allowances",False,2800,15.9,4.0,positive
Super,C3,Concessional taxation of personal superannuation contributions,True,2750,17.7,1.6,positive
GST,H5,Child care services,False,2570,10.3,4.6,positive
Super,C1,Concessional taxation of capital gains for superannuation funds,False,2550,0.0,4.8,positive
Super,C6,Deductibility of life and total and permanent disability insurance premiums provided inside of superannuation,False,2450,3.7,6.3,positive
Income,A39,"Exemptions of certain veterans' pensions, allowances or benefits, compensation, and particular World War II-related payments for persecution",False,2230,31.8,-4.8,positive
Income,B1,Local government bodies income tax exemption,False,2090,3.1,1.3,positive
Income,A31,Seniors and pensioners tax offset,True,2050,60.4,4.9,positive
Income,B12,Exemption of inbound non-portfolio distributions from income tax,False,1980,-6.3,0.0,positive
FBT,D11,Exemption for public and not-for-profit hospitals and public ambulance services,False,1900,3.9,3.8,positive
Income,A38,Exemption of Family Tax Benefit payments,False,1860,8.4,2.4,positive
Other,F6,Concessional rate of excise levied on aviation gasoline and aviation turbine fuel,False,1820,21.9,6.5,positive
GST,H18,"Health – residential care, community care and other care services",False,1810,7.2,6.8,positive
Deductions,,Cost of managing tax affairs and other deductions,False,1700,10.7,1.3,positive
Income,A18,Exemption of the Private Health Insurance Rebate,False,1550,3.2,1.5,positive
Income,A56,Philanthropy – deduction for gifts to deductible gift recipients,True,1400,-4.3,4.3,positive
GST,H6,"Water, sewerage and drainage",False,1380,6.2,3.7,positive
Income,B81,Capital works expenditure deduction,False,1380,3.5,2.6,positive
FBT,D33,Exemption for electric vehicles,False,1350,,29.4,positive
FBT,D21,Application of statutory formula to value car benefits,False,1300,10.1,0.0,positive
Super,C12,Exemption for small business assets held for more than 15 years,False,1190,14.9,-2.0,positive
CGT,E32,Small business 50 per cent reduction,False,1180,9.0,-1.0,positive
Income,B5,Reduced withholding tax under international tax treaties,False,980,14.7,10.4,positive
GST,H3,Financial supplies – reduced input tax credits,False,950,6.3,5.1,positive
Income,A19,"Medicare levy exemption for blind pensioners, persons not entitled to Medicare benefits and foreign government representatives",False,925,23.8,10.7,positive
Income,B69,Unincorporated small business tax discount,True,890,8.9,2.7,positive
FBT,D9,Exemption for health care benefits provided to members of the Defence Force,False,890,18.1,3.0,positive
Super,C5,Concessional taxation of unfunded superannuation,False,870,7.9,2.9,positive
Super,C7,Small business capital gains retirement exemption,False,830,7.1,-0.9,positive
Income,B90,International tax – concessional rate of final withholding tax on certain distributions by Australian managed investment trusts to foreign residents,False,805,-9.9,-0.2,positive
Income,B85,Research and development – non-refundable tax offset,True,800,13.3,0.0,positive
Income,A57,Philanthropy – deduction for gifts to private giving funds,False,640,4.5,5.7,positive
Income,A33,Working holiday makers,False,605,70.0,2.5,positive
GST,H15,Health – drugs and medicinal preparations,False,570,-6.9,6.7,positive
GST,H19,Private health insurance,False,520,2.8,2.4,positive
Income,B80,Accelerated depreciation for business entities,False,-6500,,-24.0,negative
Income,B86,Simplified depreciation rules,False,-5200,,-25.7,negative
Other,F21,Customs duty,False,-2030,0.8,-13.2,negative
Income,A21,Medicare levy surcharge,True,-1150,18.6,-1.1,negative
Other,F5,Luxury car tax,False,-1130,4.2,4.8,negative
Super,C11,Tax on funded superannuation lump sums,False,-1050,21.8,2.8,negative
Income,B84,Research and development – exemption of refundable tax offset,True,-850,12.6,4.9,negative
Other,G3,Petroleum Resource Rent Tax – Deductions cap,False,-700,,-5.4,negative
